,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
3664,Brandon Ingram,NOP,@OKC,2020-12-31,W,26,20,8,16,50.0,2,6,33.3,2,3,66.7,1,6,7,2,0,1,0,2,7,2020-21
3665,Luguentz Dort,OKC,vs.NOP,2020-12-31,L,17,8,3,8,37.5,2,4,50.0,0,0,-,1,2,3,1,1,0,2,3,-1,2020-21
3666,Steven Adams,NOP,@OKC,2020-12-31,W,31,14,7,13,53.8,0,0,-,0,0,-,6,4,10,2,1,1,0,1,15,2020-21
3667,Theo Maledon,OKC,vs.NOP,2020-12-31,L,26,6,2,9,22.2,2,7,28.6,0,0,-,0,5,5,2,0,0,1,3,-20,2020-21
3668,Eric Bledsoe,NOP,@OKC,2020-12-31,W,25,17,7,11,63.6,2,5,40.0,1,1,100,0,3,3,1,1,0,0,0,10,2020-21
3669,Kira Lewis Jr.,NOP,@OKC,2020-12-31,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,6,2020-21
3670,JJ Redick,NOP,@OKC,2020-12-31,W,17,3,1,4,25.0,1,4,25.0,0,0,-,0,2,2,1,0,0,0,1,9,2020-21
3671,Aleksej Pokusevski,OKC,vs.NOP,2020-12-31,L,21,3,1,4,25.0,1,4,25.0,0,0,-,0,5,5,4,2,1,6,1,-22,2020-21
3672,Josh Hall,OKC,vs.NOP,2020-12-31,L,10,3,1,5,20.0,1,4,25.0,0,2,0.0,0,1,1,0,0,0,0,3,-20,2020-21
3673,OG Anunoby,TOR,vs.NYK,2020-12-31,W,35,5,1,10,10.0,0,7,0.0,3,4,75.0,2,5,7,2,1,0,1,3,22,2020-21
3674,Norman Powell,TOR,vs.NYK,2020-12-31,W,34,17,7,13,53.8,2,7,28.6,1,1,100,0,4,4,1,2,1,3,2,28,2020-21
3675,Alex Len,TOR,vs.NYK,2020-12-31,W,13,11,3,4,75.0,3,3,100,2,2,100,0,2,2,0,0,1,0,0,8,2020-21
3676,Nerlens Noel,NYK,@TOR,2020-12-31,L,18,6,3,5,60.0,0,0,-,0,0,-,2,4,6,0,0,1,1,4,-8,2020-21
3677,Austin Rivers,NYK,@TOR,2020-12-31,L,21,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,5,1,0,1,0,-4,2020-21
3678,Kyle Lowry,TOR,vs.NYK,2020-12-31,W,37,20,6,12,50.0,4,9,44.4,4,6,66.7,1,6,7,4,2,0,4,3,11,2020-21
3679,Elfrid Payton,NYK,@TOR,2020-12-31,L,23,14,7,12,58.3,0,2,0.0,0,1,0.0,0,3,3,4,1,0,2,1,-14,2020-21
3680,Theo Pinson,NYK,@TOR,2020-12-31,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,1,2020-21
3681,Terence Davis,TOR,vs.NYK,2020-12-31,W,16,10,4,7,57.1,2,5,40.0,0,0,-,0,4,4,0,0,1,3,3,-5,2020-21
3682,Paul Watson,TOR,vs.NYK,2020-12-31,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-1,2020-21
3683,Fred VanVleet,TOR,vs.NYK,2020-12-31,W,36,25,9,19,47.4,4,9,44.4,3,3,100,1,4,5,7,1,1,1,0,21,2020-21
3684,Ignas Brazdeikis,NYK,@TOR,2020-12-31,L,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,2020-21
3685,Aron Baynes,TOR,vs.NYK,2020-12-31,W,15,3,1,3,33.3,1,3,33.3,0,0,-,1,3,4,1,0,0,1,3,0,2020-21
3686,DeAndre' Bembry,TOR,vs.NYK,2020-12-31,W,3,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,1,1,-1,2020-21
3687,Stanley Johnson,TOR,vs.NYK,2020-12-31,W,13,0,0,2,0.0,0,2,0.0,0,0,-,1,3,4,2,0,0,0,1,0,2020-21
3688,Jared Harper,NYK,@TOR,2020-12-31,L,3,2,0,0,-,0,0,-,2,2,100,0,0,0,0,0,0,2,0,1,2020-21
3689,RJ Barrett,NYK,@TOR,2020-12-31,L,37,12,4,19,21.1,0,8,0.0,4,5,80.0,2,6,8,3,1,0,2,2,-20,2020-21
3690,Reggie Bullock,NYK,@TOR,2020-12-31,L,38,6,3,15,20.0,0,9,0.0,0,0,-,0,5,5,3,1,1,1,5,-9,2020-21
3691,Julius Randle,NYK,@TOR,2020-12-31,L,38,16,5,12,41.7,0,4,0.0,6,7,85.7,1,9,10,5,0,1,3,4,-18,2020-21
3692,Malachi Flynn,TOR,vs.NYK,2020-12-31,W,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1,2020-21
3693,Yuta Watanabe,TOR,vs.NYK,2020-12-31,W,9,0,0,2,0.0,0,1,0.0,0,0,-,1,3,4,1,1,1,0,2,-8,2020-21
3694,Mitchell Robinson,NYK,@TOR,2020-12-31,L,25,4,2,4,50.0,0,0,-,0,0,-,2,5,7,0,2,0,1,4,0,2020-21
3695,Kevin Knox II,NYK,@TOR,2020-12-31,L,32,16,5,14,35.7,2,8,25.0,4,5,80.0,2,4,6,1,0,0,2,1,-14,2020-21
3696,Chris Boucher,TOR,vs.NYK,2020-12-31,W,24,9,3,9,33.3,1,4,25.0,2,5,40.0,2,7,9,2,0,1,2,4,11,2020-21
3697,Tyrese Haliburton,SAC,@HOU,2020-12-31,L,27,11,4,9,44.4,2,4,50.0,1,2,50.0,0,2,2,1,2,0,1,2,-4,2020-21
3698,Sterling Brown,HOU,vs.SAC,2020-12-31,W,12,6,2,2,100,2,2,100,0,0,-,0,1,1,1,1,0,0,2,-6,2020-21
3699,Eric Gordon,HOU,vs.SAC,2020-12-31,W,26,17,6,12,50.0,3,8,37.5,2,2,100,1,1,2,0,2,0,2,3,4,2020-21
3700,John Wall,HOU,vs.SAC,2020-12-31,W,37,22,8,20,40.0,2,8,25.0,4,4,100,1,5,6,9,1,1,5,0,-4,2020-21
3701,DeMarcus Cousins,HOU,vs.SAC,2020-12-31,W,14,8,3,5,60.0,1,2,50.0,1,2,50.0,0,1,1,3,0,0,2,0,-7,2020-21
3702,James Harden,HOU,vs.SAC,2020-12-31,W,38,33,10,24,41.7,4,11,36.4,9,11,81.8,2,4,6,8,1,1,6,2,8,2020-21
3703,Nemanja Bjelica,SAC,@HOU,2020-12-31,L,16,8,3,4,75.0,1,1,100,1,3,33.3,2,3,5,2,0,0,3,2,10,2020-21
3704,Christian Wood,HOU,vs.SAC,2020-12-31,W,32,21,9,14,64.3,0,3,0.0,3,4,75.0,3,9,12,3,1,2,1,1,13,2020-21
3705,Danuel House Jr.,HOU,vs.SAC,2020-12-31,W,28,11,5,6,83.3,1,2,50.0,0,0,-,0,5,5,1,0,0,0,2,7,2020-21
3706,Jae'Sean Tate,HOU,vs.SAC,2020-12-31,W,21,4,2,3,66.7,0,0,-,0,2,0.0,1,5,6,1,1,0,2,1,-4,2020-21
3707,Cory Joseph,SAC,@HOU,2020-12-31,L,23,9,3,6,50.0,0,1,0.0,3,3,100,0,1,1,5,2,0,1,4,0,2020-21
3708,Richaun Holmes,SAC,@HOU,2020-12-31,L,36,22,10,13,76.9,0,0,-,2,2,100,4,9,13,2,2,1,1,5,-2,2020-21
3709,De'Aaron Fox,SAC,@HOU,2020-12-31,L,35,22,9,23,39.1,1,7,14.3,3,6,50.0,2,3,5,6,4,1,2,2,-3,2020-21
3710,Marvin Bagley III,SAC,@HOU,2020-12-31,L,26,4,1,9,11.1,0,0,-,2,2,100,4,4,8,1,0,1,3,0,-3,2020-21
3711,Harrison Barnes,SAC,@HOU,2020-12-31,L,37,24,8,14,57.1,2,5,40.0,6,6,100,2,6,8,1,1,1,1,2,-3,2020-21
3712,Buddy Hield,SAC,@HOU,2020-12-31,L,38,19,7,18,38.9,5,15,33.3,0,0,-,0,3,3,5,0,1,2,3,-9,2020-21
3713,Hassan Whiteside,SAC,@HOU,2020-12-31,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-1,2020-21
3714,P.J. Tucker,HOU,vs.SAC,2020-12-31,W,32,0,0,0,-,0,0,-,0,0,-,2,4,6,0,3,2,0,3,4,2020-21
3715,Dwight Howard,PHI,@ORL,2020-12-31,W,14,7,3,4,75.0,1,1,100,0,0,-,1,4,5,1,1,1,3,4,11,2020-21
3716,Mike Scott,PHI,@ORL,2020-12-31,W,17,0,0,2,0.0,0,2,0.0,0,0,-,0,4,4,0,0,0,0,1,-3,2020-21
3717,Isaiah Joe,PHI,@ORL,2020-12-31,W,7,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,1,2,-10,2020-21
3718,Dakota Mathias,PHI,@ORL,2020-12-31,W,6,0,0,3,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,0,-8,2020-21
3719,Vincent Poirier,PHI,@ORL,2020-12-31,W,7,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,1,1,0,-10,2020-21
3720,Terrance Ferguson,PHI,@ORL,2020-12-31,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,-3,2020-21
3721,Ben Simmons,PHI,@ORL,2020-12-31,W,25,9,3,7,42.9,1,1,100,2,2,100,2,8,10,8,2,0,2,3,25,2020-21
3722,Joel Embiid,PHI,@ORL,2020-12-31,W,27,21,7,11,63.6,1,2,50.0,6,8,75.0,0,9,9,2,0,2,0,2,23,2020-21
3723,Seth Curry,PHI,@ORL,2020-12-31,W,25,21,7,12,58.3,5,7,71.4,2,2,100,0,1,1,3,1,0,1,1,24,2020-21
3724,Khem Birch,ORL,vs.PHI,2020-12-31,L,24,6,2,7,28.6,0,0,-,2,2,100,4,3,7,1,1,1,2,2,5,2020-21
3725,Tobias Harris,PHI,@ORL,2020-12-31,W,27,20,8,15,53.3,3,4,75.0,1,1,100,3,6,9,3,0,1,1,2,30,2020-21
3726,Danny Green,PHI,@ORL,2020-12-31,W,18,3,1,4,25.0,1,4,25.0,0,0,-,0,0,0,0,0,1,1,3,14,2020-21
3727,Jordan Bone,ORL,vs.PHI,2020-12-31,L,9,4,2,4,50.0,0,1,0.0,0,0,-,1,1,2,1,0,0,0,0,5,2020-21
3728,Karim Mane,ORL,vs.PHI,2020-12-31,L,19,0,0,3,0.0,0,0,-,0,0,-,0,4,4,0,0,0,0,1,10,2020-21
3729,Tyrese Maxey,PHI,@ORL,2020-12-31,W,21,10,5,9,55.6,0,0,-,0,0,-,0,2,2,0,1,0,1,2,-1,2020-21
3730,Cole Anthony,ORL,vs.PHI,2020-12-31,L,30,16,5,18,27.8,1,4,25.0,5,5,100,1,6,7,2,0,0,2,2,-4,2020-21
3731,Nikola Vucevic,ORL,vs.PHI,2020-12-31,L,24,19,8,15,53.3,3,6,50.0,0,0,-,2,8,10,3,0,0,0,3,-29,2020-21
3732,Evan Fournier,ORL,vs.PHI,2020-12-31,L,8,3,1,3,33.3,0,2,0.0,1,1,100,0,1,1,2,0,0,0,1,-11,2020-21
3733,Michael Carter-Williams,ORL,vs.PHI,2020-12-31,L,27,10,3,11,27.3,0,2,0.0,4,4,100,2,4,6,1,0,1,0,1,-14,2020-21
3734,Aaron Gordon,ORL,vs.PHI,2020-12-31,L,21,6,1,8,12.5,0,4,0.0,4,5,80.0,0,3,3,1,0,2,2,0,-23,2020-21
3735,Markelle Fultz,ORL,vs.PHI,2020-12-31,L,24,9,4,11,36.4,0,1,0.0,1,1,100,0,2,2,4,1,1,2,3,-31,2020-21
3736,Matisse Thybulle,PHI,@ORL,2020-12-31,W,18,9,3,5,60.0,2,4,50.0,1,1,100,0,4,4,0,1,2,2,1,8,2020-21
3737,Dwayne Bacon,ORL,vs.PHI,2020-12-31,L,28,10,4,9,44.4,1,3,33.3,1,2,50.0,0,3,3,1,0,0,2,1,-27,2020-21
3738,Gary Clark,ORL,vs.PHI,2020-12-31,L,10,3,1,2,50.0,0,1,0.0,1,1,100,0,2,2,0,0,0,0,0,0,2020-21
3739,Chuma Okeke,ORL,vs.PHI,2020-12-31,L,17,6,2,4,50.0,2,4,50.0,0,0,-,0,1,1,1,0,0,1,1,-1,2020-21
3740,Shake Milton,PHI,@ORL,2020-12-31,W,25,14,6,15,40.0,1,4,25.0,1,1,100,0,4,4,6,1,2,1,1,20,2020-21
3741,Troy Brown Jr.,WAS,vs.CHI,2020-12-31,L,17,6,2,5,40.0,2,3,66.7,0,0,-,0,1,1,1,0,0,1,3,-2,2020-21
3742,Daniel Gafford,CHI,@WAS,2020-12-31,W,22,15,7,8,87.5,0,0,-,1,2,50.0,3,2,5,2,2,1,1,3,23,2020-21
3743,Patrick Williams,CHI,@WAS,2020-12-31,W,18,10,4,5,80.0,1,2,50.0,1,2,50.0,0,1,1,0,0,0,2,4,-15,2020-21
3744,Raul Neto,WAS,vs.CHI,2020-12-31,L,22,15,5,7,71.4,3,3,100,2,2,100,0,4,4,1,3,0,0,2,3,2020-21
3745,Davis Bertans,WAS,vs.CHI,2020-12-31,L,21,3,0,8,0.0,0,6,0.0,3,3,100,0,3,3,2,1,0,0,3,-18,2020-21
3746,Robin Lopez,WAS,vs.CHI,2020-12-31,L,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-6,2020-21
3747,Ish Smith,WAS,vs.CHI,2020-12-31,L,8,0,0,0,-,0,0,-,0,0,-,0,0,0,3,0,0,2,0,-6,2020-21
3748,Bradley Beal,WAS,vs.CHI,2020-12-31,L,35,28,8,19,42.1,0,3,0.0,12,13,92.3,1,3,4,3,1,1,3,4,3,2020-21
3749,Thomas Bryant,WAS,vs.CHI,2020-12-31,L,34,28,10,11,90.9,3,3,100,5,7,71.4,2,1,3,0,1,3,1,3,3,2020-21
3750,Garrett Temple,CHI,@WAS,2020-12-31,W,28,8,3,6,50.0,1,4,25.0,1,1,100,1,1,2,4,0,0,2,3,-3,2020-21
3751,Rui Hachimura,WAS,vs.CHI,2020-12-31,L,25,17,5,8,62.5,2,2,100,5,8,62.5,2,3,5,3,1,0,2,1,13,2020-21
3752,Deni Avdija,WAS,vs.CHI,2020-12-31,L,25,6,2,5,40.0,0,3,0.0,2,2,100,1,3,4,3,0,0,0,1,5,2020-21
3753,Wendell Carter Jr.,CHI,@WAS,2020-12-31,W,23,16,7,11,63.6,1,1,100,1,2,50.0,1,4,5,1,1,1,2,5,-24,2020-21
3754,Russell Westbrook,WAS,vs.CHI,2020-12-31,L,39,22,8,18,44.4,3,5,60.0,3,6,50.0,2,8,10,11,1,0,5,4,-10,2020-21
3755,Thaddeus Young,CHI,@WAS,2020-12-31,W,27,15,7,12,58.3,1,2,50.0,0,0,-,1,2,3,6,2,0,2,2,19,2020-21
3756,Moritz Wagner,WAS,vs.CHI,2020-12-31,L,7,5,2,3,66.7,1,1,100,0,0,-,1,1,2,0,0,0,0,4,0,2020-21
3757,Zach LaVine,CHI,@WAS,2020-12-31,W,35,22,6,17,35.3,1,7,14.3,9,10,90.0,0,6,6,7,0,1,3,4,-3,2020-21
3758,Otto Porter Jr.,CHI,@WAS,2020-12-31,W,31,28,10,14,71.4,5,9,55.6,3,3,100,1,11,12,3,3,0,0,0,0,2020-21
3759,Coby White,CHI,@WAS,2020-12-31,W,40,16,5,16,31.3,3,9,33.3,3,5,60.0,1,5,6,10,0,0,3,4,14,2020-21
3760,Denzel Valentine,CHI,@WAS,2020-12-31,W,15,3,1,3,33.3,1,2,50.0,0,0,-,1,3,4,1,1,0,0,2,4,2020-21
3761,Myles Turner,IND,vs.CLE,2020-12-31,W,33,14,5,9,55.6,0,4,0.0,4,4,100,2,5,7,2,4,1,0,6,8,2020-21
3762,T.J. McConnell,IND,vs.CLE,2020-12-31,W,9,4,2,3,66.7,0,0,-,0,0,-,0,1,1,2,1,0,2,0,-10,2020-21
3763,Larry Nance Jr.,CLE,@IND,2020-12-31,L,36,10,4,9,44.4,1,4,25.0,1,2,50.0,1,4,5,7,2,1,2,3,-3,2020-21
3764,Doug McDermott,IND,vs.CLE,2020-12-31,W,25,18,6,13,46.2,3,6,50.0,3,6,50.0,3,6,9,0,0,0,2,3,-1,2020-21
3765,Damyean Dotson,CLE,@IND,2020-12-31,L,21,3,1,2,50.0,1,1,100,0,0,-,0,1,1,1,0,0,2,2,-8,2020-21
3766,Justin Holiday,IND,vs.CLE,2020-12-31,W,23,7,3,7,42.9,1,4,25.0,0,0,-,0,4,4,1,1,0,1,0,8,2020-21
3767,Collin Sexton,CLE,@IND,2020-12-31,L,37,28,12,19,63.2,2,2,100,2,2,100,0,1,1,4,1,1,2,2,-7,2020-21
3768,Kelan Martin,IND,vs.CLE,2020-12-31,W,11,0,0,6,0.0,0,2,0.0,0,0,-,1,0,1,0,1,0,2,3,5,2020-21
3769,Andre Drummond,CLE,@IND,2020-12-31,L,25,11,4,11,36.4,0,0,-,3,4,75.0,3,10,13,4,1,1,3,4,5,2020-21
3770,Cassius Stanley,IND,vs.CLE,2020-12-31,W,2,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,1,1,2020-21
3771,Jalen Lecque,IND,vs.CLE,2020-12-31,W,2,3,1,1,100,0,0,-,1,1,100,0,1,1,1,0,0,0,0,1,2020-21
3772,Aaron Holiday,IND,vs.CLE,2020-12-31,W,22,12,4,6,66.7,3,4,75.0,1,2,50.0,1,0,1,2,1,0,1,4,11,2020-21
3773,Edmond Sumner,IND,vs.CLE,2020-12-31,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,2020-21
3774,JaKarr Sampson,IND,vs.CLE,2020-12-31,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,2020-21
3775,Lamar Stevens,CLE,@IND,2020-12-31,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,2020-21
3776,Dean Wade,CLE,@IND,2020-12-31,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-11,2020-21
3777,Marques Bolden,CLE,@IND,2020-12-31,L,2,3,0,0,-,0,0,-,3,4,75.0,0,1,1,0,0,0,0,0,-1,2020-21
3778,Thon Maker,CLE,@IND,2020-12-31,L,9,6,2,3,66.7,0,0,-,2,2,100,0,1,1,0,0,1,0,1,-4,2020-21
3779,Dante Exum,CLE,@IND,2020-12-31,L,28,7,2,5,40.0,2,3,66.7,1,2,50.0,0,4,4,0,0,1,2,0,-9,2020-21
3780,Domantas Sabonis,IND,vs.CLE,2020-12-31,W,37,25,10,14,71.4,2,2,100,3,3,100,2,9,11,7,0,0,1,2,25,2020-21
3781,Victor Oladipo,IND,vs.CLE,2020-12-31,W,34,16,5,14,35.7,4,8,50.0,2,2,100,0,4,4,8,1,0,3,1,21,2020-21
3782,Cedi Osman,CLE,@IND,2020-12-31,L,21,3,1,8,12.5,1,5,20.0,0,2,0.0,1,1,2,1,1,0,0,1,-19,2020-21
3783,Malcolm Brogdon,IND,vs.CLE,2020-12-31,W,37,17,5,13,38.5,2,4,50.0,5,6,83.3,0,4,4,5,3,0,2,2,29,2020-21
3784,Darius Garland,CLE,@IND,2020-12-31,L,38,21,8,14,57.1,5,7,71.4,0,0,-,0,2,2,5,0,0,6,3,-21,2020-21
3785,JaVale McGee,CLE,@IND,2020-12-31,L,14,7,3,11,27.3,0,1,0.0,1,6,16.7,6,7,13,0,0,1,1,5,-21,2020-21
3786,Jusuf Nurkic,POR,@LAC,2020-12-30,L,23,4,2,4,50.0,0,0,-,0,0,-,0,4,4,1,0,2,4,3,-21,2020-21
3787,Derrick Jones Jr.,POR,@LAC,2020-12-30,L,35,6,2,6,33.3,1,3,33.3,1,2,50.0,0,3,3,0,1,0,0,0,-14,2020-21
3788,Enes Kanter,POR,@LAC,2020-12-30,L,25,10,4,9,44.4,0,0,-,2,2,100,4,6,10,0,0,0,1,2,-2,2020-21
3789,Luke Kennard,LAC,vs.POR,2020-12-30,W,19,5,2,5,40.0,1,1,100,0,0,-,0,0,0,1,0,0,2,1,-4,2020-21
3790,Harry Giles III,POR,@LAC,2020-12-30,L,8,7,3,4,75.0,0,1,0.0,1,2,50.0,0,5,5,0,0,1,1,0,6,2020-21
3791,Kawhi Leonard,LAC,vs.POR,2020-12-30,W,30,28,9,17,52.9,3,5,60.0,7,8,87.5,1,2,3,7,3,1,0,4,23,2020-21
3792,Paul George,LAC,vs.POR,2020-12-30,W,28,23,8,15,53.3,4,9,44.4,3,4,75.0,0,10,10,7,2,0,3,1,25,2020-21
3793,Patrick Patterson,LAC,vs.POR,2020-12-30,W,11,2,1,5,20.0,0,3,0.0,0,0,-,0,3,3,0,0,0,1,1,-6,2020-21
3794,Anfernee Simons,POR,@LAC,2020-12-30,L,10,3,1,4,25.0,1,4,25.0,0,0,-,0,0,0,0,0,0,0,2,-14,2020-21
3795,Amir Coffey,LAC,vs.POR,2020-12-30,W,5,6,2,4,50.0,1,2,50.0,1,1,100,0,0,0,0,0,0,0,1,2,2020-21
3796,Terance Mann,LAC,vs.POR,2020-12-30,W,8,0,0,1,0.0,0,0,-,0,0,-,2,2,4,0,0,0,0,1,-6,2020-21
3797,CJ McCollum,POR,@LAC,2020-12-30,L,28,25,8,17,47.1,7,11,63.6,2,2,100,0,4,4,3,1,0,1,0,-12,2020-21
3798,Mfiondu Kabengele,LAC,vs.POR,2020-12-30,W,7,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,2,1,1,0,2,-4,2020-21
3799,Damian Lillard,POR,@LAC,2020-12-30,L,29,20,3,14,21.4,0,8,0.0,14,15,93.3,1,4,5,4,1,0,4,1,-20,2020-21
3800,Reggie Jackson,LAC,vs.POR,2020-12-30,W,22,11,4,6,66.7,2,4,50.0,1,3,33.3,0,1,1,2,0,0,0,3,-1,2020-21
3801,Daniel Oturu,LAC,vs.POR,2020-12-30,W,3,2,1,2,50.0,0,0,-,0,0,-,0,2,2,1,0,0,0,0,0,2020-21
3802,Robert Covington,POR,@LAC,2020-12-30,L,25,8,3,4,75.0,2,3,66.7,0,0,-,0,3,3,1,1,1,2,5,-22,2020-21
3803,Carmelo Anthony,POR,@LAC,2020-12-30,L,25,15,3,5,60.0,0,2,0.0,9,10,90.0,0,5,5,2,0,0,1,2,-18,2020-21
3804,Keljin Blevins,POR,@LAC,2020-12-30,L,8,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,2,1,0,1,1,6,2020-21
3805,Patrick Beverley,LAC,vs.POR,2020-12-30,W,21,7,3,6,50.0,1,2,50.0,0,0,-,2,2,4,0,2,0,0,4,23,2020-21
3806,Nicolas Batum,LAC,vs.POR,2020-12-30,W,26,11,4,6,66.7,2,2,100,1,2,50.0,2,3,5,3,1,0,0,1,26,2020-21
3807,Ivica Zubac,LAC,vs.POR,2020-12-30,W,15,7,2,2,100,0,0,-,3,4,75.0,2,0,2,2,2,3,2,3,7,2020-21
3808,CJ Elleby,POR,@LAC,2020-12-30,L,8,2,1,3,33.3,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,1,6,2020-21
3809,Lou Williams,LAC,vs.POR,2020-12-30,W,21,15,7,13,53.8,1,4,25.0,0,0,-,0,5,5,2,1,0,1,0,10,2020-21
3810,Rodney Hood,POR,@LAC,2020-12-30,L,15,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,1,0,0,2,0,-10,2020-21
3811,Serge Ibaka,LAC,vs.POR,2020-12-30,W,23,11,4,11,36.4,3,5,60.0,0,0,-,2,6,8,3,1,1,1,3,20,2020-21
3812,Cody Martin,CHA,@DAL,2020-12-30,W,8,4,2,2,100,0,0,-,0,0,-,0,0,0,0,1,0,1,1,0,2020-21
3813,James Johnson,DAL,vs.CHA,2020-12-30,L,19,7,3,8,37.5,0,2,0.0,1,3,33.3,2,4,6,4,2,1,0,1,10,2020-21
3814,Jalen Brunson,DAL,vs.CHA,2020-12-30,L,20,16,5,13,38.5,2,5,40.0,4,6,66.7,0,4,4,4,1,0,1,0,4,2020-21
3815,Josh Green,DAL,vs.CHA,2020-12-30,L,13,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,1,0,10,2020-21
3816,P.J. Washington,CHA,@DAL,2020-12-30,W,18,11,4,6,66.7,1,2,50.0,2,2,100,1,1,2,3,0,0,2,5,23,2020-21
3817,Devonte' Graham,CHA,@DAL,2020-12-30,W,29,9,3,8,37.5,2,5,40.0,1,1,100,0,0,0,5,2,0,1,2,20,2020-21
3818,Terry Rozier,CHA,@DAL,2020-12-30,W,30,18,8,17,47.1,2,7,28.6,0,0,-,1,4,5,3,0,1,3,4,11,2020-21
3819,Dwight Powell,DAL,vs.CHA,2020-12-30,L,24,9,2,6,33.3,0,1,0.0,5,7,71.4,3,1,4,2,1,1,2,3,-21,2020-21
3820,Trey Burke,DAL,vs.CHA,2020-12-30,L,20,3,1,9,11.1,1,6,16.7,0,0,-,0,1,1,4,2,0,1,0,0,2020-21
3821,Bismack Biyombo,CHA,@DAL,2020-12-30,W,30,9,3,6,50.0,0,0,-,3,5,60.0,4,2,6,4,0,1,2,5,8,2020-21
3822,Gordon Hayward,CHA,@DAL,2020-12-30,W,31,11,4,16,25.0,1,6,16.7,2,2,100,1,6,7,3,1,0,3,4,8,2020-21
3823,Jalen McDaniels,CHA,@DAL,2020-12-30,W,16,10,4,5,80.0,1,2,50.0,1,1,100,0,1,1,0,0,0,4,2,-9,2020-21
3824,LaMelo Ball,CHA,@DAL,2020-12-30,W,29,22,7,10,70.0,4,5,80.0,4,4,100,4,4,8,5,1,1,2,3,8,2020-21
3825,Nick Richards,CHA,@DAL,2020-12-30,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,2020-21
3826,Vernon Carey Jr.,CHA,@DAL,2020-12-30,W,4,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,1,0,1,0,0,-4,2020-21
3827,Caleb Martin,CHA,@DAL,2020-12-30,W,14,4,2,3,66.7,0,0,-,0,2,0.0,1,3,4,4,1,0,0,1,15,2020-21
3828,Miles Bridges,CHA,@DAL,2020-12-30,W,30,20,6,9,66.7,4,6,66.7,4,4,100,0,16,16,2,0,2,5,1,18,2020-21
3829,Tyrell Terry,DAL,vs.CHA,2020-12-30,L,4,0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0,1,0,0,0,0,4,2020-21
3830,Luka Doncic,DAL,vs.CHA,2020-12-30,L,24,12,4,10,40.0,0,5,0.0,4,7,57.1,0,2,2,5,2,0,3,3,-27,2020-21
3831,Maxi Kleber,DAL,vs.CHA,2020-12-30,L,21,12,4,5,80.0,4,5,80.0,0,0,-,1,5,6,1,0,2,2,1,-9,2020-21
3832,Wes Iwundu,DAL,vs.CHA,2020-12-30,L,4,6,2,3,66.7,1,1,100,1,2,50.0,0,0,0,0,0,0,0,0,4,2020-21
3833,Dorian Finney-Smith,DAL,vs.CHA,2020-12-30,L,24,5,2,8,25.0,1,6,16.7,0,0,-,4,2,6,0,1,1,1,2,-22,2020-21
3834,Boban Marjanovic,DAL,vs.CHA,2020-12-30,L,4,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,0,0,4,2020-21
3835,Josh Richardson,DAL,vs.CHA,2020-12-30,L,27,4,1,10,10.0,0,4,0.0,2,2,100,1,1,2,2,0,1,1,2,-23,2020-21
3836,Willie Cauley-Stein,DAL,vs.CHA,2020-12-30,L,9,5,2,2,100,0,0,-,1,4,25.0,1,2,3,0,0,0,1,4,-2,2020-21
3837,Tim Hardaway Jr.,DAL,vs.CHA,2020-12-30,L,28,18,7,10,70.0,3,6,50.0,1,1,100,0,2,2,1,1,0,1,0,-27,2020-21
