,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
267,Ben Simmons,PHI,@DET,2021-01-23,W,34,20,5,7,71.4,0,0,-,10,12,83.3,1,8,9,7,3,1,2,3,9,2020-21
268,Joel Embiid,PHI,@DET,2021-01-23,W,35,33,10,20,50.0,1,2,50.0,12,17,70.6,5,9,14,1,1,2,3,2,13,2020-21
269,Danny Green,PHI,@DET,2021-01-23,W,32,7,3,8,37.5,1,5,20.0,0,0,-,0,2,2,1,2,0,0,1,15,2020-21
270,Dwight Howard,PHI,@DET,2021-01-23,W,13,5,2,4,50.0,0,0,-,1,2,50.0,3,4,7,0,0,2,2,5,-9,2020-21
271,Seth Curry,PHI,@DET,2021-01-23,W,28,14,6,11,54.5,0,3,0.0,2,2,100,0,3,3,1,2,0,1,2,12,2020-21
272,Tobias Harris,PHI,@DET,2021-01-23,W,34,17,6,14,42.9,3,5,60.0,2,2,100,0,4,4,0,0,2,4,2,13,2020-21
273,Saben Lee,DET,vs.PHI,2021-01-23,L,12,2,1,1,100,0,0,-,0,0,-,0,1,1,4,1,0,0,1,2,2020-21
274,Tyrese Maxey,PHI,@DET,2021-01-23,W,13,2,1,4,25.0,0,1,0.0,0,0,-,0,2,2,0,2,0,0,0,-9,2020-21
275,Matisse Thybulle,PHI,@DET,2021-01-23,W,17,0,0,3,0.0,0,2,0.0,0,0,-,1,0,1,1,0,0,1,5,-14,2020-21
276,Svi Mykhailiuk,DET,vs.PHI,2021-01-23,L,18,15,4,6,66.7,3,4,75.0,4,6,66.7,0,4,4,3,1,0,2,3,13,2020-21
277,Josh Jackson,DET,vs.PHI,2021-01-23,L,24,11,4,8,50.0,1,2,50.0,2,3,66.7,0,1,1,2,0,3,2,4,8,2020-21
278,Jahlil Okafor,DET,vs.PHI,2021-01-23,L,9,6,3,6,50.0,0,2,0.0,0,0,-,0,0,0,1,0,0,0,2,-8,2020-21
279,Delon Wright,DET,vs.PHI,2021-01-23,L,36,10,3,8,37.5,1,2,50.0,3,4,75.0,1,6,7,6,0,1,3,2,-6,2020-21
280,Sekou Doumbouya,DET,vs.PHI,2021-01-23,L,19,13,4,10,40.0,1,3,33.3,4,4,100,2,2,4,1,1,0,0,0,1,2020-21
281,Saddiq Bey,DET,vs.PHI,2021-01-23,L,19,10,4,9,44.4,2,5,40.0,0,0,-,1,2,3,0,1,0,0,1,-9,2020-21
282,Isaiah Stewart,DET,vs.PHI,2021-01-23,L,19,8,3,5,60.0,0,0,-,2,3,66.7,0,5,5,1,1,2,1,4,-2,2020-21
